Type of Criminal Offence;City;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4
Crimes of violence, total;Stevns;15;20;23;10;13;12;19;17;21;22;24;15;11;24;26;6;8;26;30;31
Crimes of violence, total;Vordingborg;51;63;76;62;63;76;58;65;71;54;56;40;65;68;66;49;54;52;49;46
Crimes of violence, total;Region Syddanmark;1225;1470;1539;1594;1304;1481;1440;1723;1282;1367;1598;1373;1215;1568;1524;1533;1491;1643;1707;1496
Crimes of violence, total;Assens;16;28;25;43;33;29;18;49;38;39;43;48;33;26;40;34;22;39;39;33
Crimes of violence, total;Faaborg-Midtfyn;45;46;48;84;50;39;42;42;31;50;51;54;41;47;46;39;50;39;29;41
Crimes of violence, total;Kerteminde;16;14;34;26;16;23;23;15;26;18;23;13;16;21;17;11;13;18;25;13
Crimes of violence, total;Langeland;7;15;16;18;14;13;23;14;17;14;4;11;7;19;10;8;21;16;33;33
Crimes of violence, total;Middelfart;25;45;35;38;24;47;46;34;50;26;219;48;42;34;57;52;51;66;71;50
Crimes of violence, total;Nordfyns;35;32;42;61;43;59;46;45;41;36;36;34;51;40;58;30;37;22;49;21
Crimes of violence, total;Nyborg;71;97;57;55;56;57;74;64;44;31;49;54;50;53;41;60;39;38;56;72
Crimes of violence, total;Odense;223;256;264;301;272;257;246;434;253;237;228;218;195;273;273;248;249;264;330;244
Crimes of violence, total;Svendborg;67;78;57;70;50;77;52;82;57;61;48;50;52;73;75;65;51;91;76;68
Crimes of violence, total;Ærø;0;1;5;1;6;0;4;3;0;0;4;2;1;1;6;4;8;2;8;7
Crimes of violence, total;Billund;25;29;22;18;18;23;33;26;14;10;20;21;22;15;12;31;23;31;29;22
Crimes of violence, total;Esbjerg;127;143;178;162;134;190;171;194;162;177;152;185;168;191;187;189;185;177;165;180
Crimes of violence, total;Fanø;5;5;5;0;4;2;7;0;2;3;0;1;0;4;1;3;0;1;2;1
Crimes of violence, total;Fredericia;55;70;76;94;56;61;52;85;63;63;74;65;61;100;75;92;93;90;78;101
Crimes of violence, total;Haderslev;48;60;76;59;59;77;46;81;53;73;70;59;55;97;82;76;155;87;75;74
Crimes of violence, total;Kolding;95;86;122;113;94;135;111;115;104;134;139;104;100;130;114;128;109;173;128;104
Crimes of violence, total;Sønderborg;56;113;85;67;66;81;75;66;72;81;91;69;49;87;78;99;83;103;101;88
Crimes of violence, total;Tønder;58;65;72;54;28;49;51;50;42;55;51;46;48;43;57;58;43;53;42;44
Crimes of violence, total;Varde;45;38;47;59;47;45;48;39;38;19;51;40;25;54;37;33;31;57;55;44
Crimes of violence, total;Vejen;28;24;45;36;38;28;32;43;23;43;45;36;29;37;46;41;38;32;50;43
Crimes of violence, total;Vejle;107;150;155;157;128;126;176;165;113;121;130;134;123;169;152;161;138;188;182;155
Crimes of violence, total;Aabenraa;71;75;73;78;68;63;64;77;39;76;70;81;47;54;60;71;52;56;84;58
Crimes of violence, total;Region Midtjylland;1212;1447;1284;1316;1295;1306;1387;1468;1306;1176;1258;1212;1126;1227;1311;1245;1149;1421;1294;1296
Crimes of violence, total;Favrskov;23;31;44;34;43;31;23;64;31;37;32;25;23;57;29;32;39;26;18;49
Crimes of violence, total;Hedensted;29;35;30;32;32;23;31;33;17;28;26;34;36;29;33;37;38;23;29;36
Crimes of violence, total;Horsens;81;133;110;117;116;96;117;113;123;102;111;80;95;123;128;123;85;151;115;122
Crimes of violence, total;Norddjurs;49;55;46;78;44;35;46;42;49;62;76;40;39;33;62;39;44;60;81;70
Crimes of violence, total;Odder;14;10;21;13;17;10;12;14;11;7;12;15;12;13;3;6;8;16;12;11
Crimes of violence, total;Randers;96;111;125;113;106;120;135;123;109;90;124;112;85;135;115;115;85;116;87;97
Crimes of violence, total;Samsø;2;3;5;1;2;2;4;2;1;4;3;2;1;0;0;2;2;2;8;6
Crimes of violence, total;Silkeborg;59;72;64;73;79;109;96;69;88;57;65;88;55;54;77;60;80;80;54;75
Crimes of violence, total;Skanderborg;25;33;27;35;37;24;54;37;24;24;28;20;27;30;22;28;36;33;38;30
Crimes of violence, total;Syddjurs;23;47;19;15;16;20;23;29;24;24;28;29;28;39;23;28;19;26;36;15
Crimes of violence, total;Aarhus;479;445;432;393;402;393;427;426;407;375;379;372;337;349;375;397;365;432;383;388
Crimes of violence, total;Herning;104;127;95;110;113;121;102;121;116;83;93;89;122;63;109;97;80;112;94;81
Crimes of violence, total;Holstebro;46;91;56;58;60;49;62;73;66;58;64;74;44;81;71;59;57;83;76;73
Crimes of violence, total;Ikast-Brande;42;41;49;43;45;54;60;44;53;46;52;53;55;41;30;36;27;52;31;38
Crimes of violence, total;Lemvig;5;20;8;14;11;13;24;13;15;11;16;13;12;11;14;7;10;18;12;3
Crimes of violence, total;Ringkøbing-Skjern;34;31;14;28;27;28;30;37;27;16;32;19;15;24;18;15;24;23;24;20
Crimes of violence, total;Skive;34;45;38;35;56;44;52;46;38;41;18;33;26;35;55;39;48;50;59;43
Crimes of violence, total;Struer;14;15;17;22;19;19;11;39;21;21;13;21;14;16;23;34;15;24;25;18
Crimes of violence, total;Viborg;53;102;84;102;70;115;78;143;86;90;86;93;100;94;124;91;87;94;112;121
