Voldsforbrydelser i alt;Hele landet;5702;7008;6969;6950;6302;6899;6759;7500;6220;6111;7025;6354;5696;6540;6801;6594;6484;8845;7676;6883
Voldsforbrydelser i alt;Region Hovedstaden;1922;2427;2309;2366;2192;2444;2209;2500;2020;1936;2403;2106;2053;2201;2346;2264;2144;3288;2638;2370
Voldsforbrydelser i alt;København;1025;1177;1125;1059;943;1183;1055;1145;927;825;1038;878;900;996;1089;1022;991;1332;1287;1151
Voldsforbrydelser i alt;Frederiksberg;62;77;74;68;69;74;82;91;70;48;98;106;109;80;93;90;108;100;96;76
Voldsforbrydelser i alt;Dragør;7;8;4;6;8;6;8;12;7;6;11;10;3;10;6;7;4;7;9;10
Voldsforbrydelser i alt;Tårnby;41;58;52;46;45;44;35;47;41;33;31;36;38;40;49;52;45;59;66;49
Voldsforbrydelser i alt;Albertslund;44;56;42;45;44;50;41;44;40;51;37;53;35;33;31;30;45;47;28;36
Voldsforbrydelser i alt;Ballerup;51;56;56;50;44;67;63;58;56;55;74;56;48;67;73;40;54;50;40;42
Voldsforbrydelser i alt;Brøndby;42;54;64;136;144;66;56;67;50;39;64;50;88;62;79;147;63;243;59;58
Voldsforbrydelser i alt;Gentofte;38;51;52;61;38;40;39;61;41;68;54;38;50;58;56;47;38;55;85;53
Voldsforbrydelser i alt;Gladsaxe;40;68;63;56;43;54;65;50;51;74;76;79;90;58;61;63;76;476;71;58
Voldsforbrydelser i alt;Glostrup;31;48;42;39;46;33;43;40;39;44;42;43;26;39;37;26;42;35;27;47
Voldsforbrydelser i alt;Herlev;15;36;36;35;43;40;25;35;35;29;29;45;39;24;30;35;20;24;24;27
Voldsforbrydelser i alt;Hvidovre;50;52;66;66;66;79;78;63;68;68;77;69;42;41;51;53;48;67;62;57
Voldsforbrydelser i alt;Høje-Taastrup;58;85;84;84;70;69;61;70;60;62;79;71;54;60;52;74;57;72;92;63
Voldsforbrydelser i alt;Ishøj;19;37;26;39;41;30;35;43;48;24;38;34;22;35;38;36;21;38;25;29
Voldsforbrydelser i alt;Lyngby-Taarbæk;29;50;32;41;29;30;39;46;23;34;45;37;30;43;47;44;35;46;45;46
Voldsforbrydelser i alt;Rødovre;36;40;28;43;34;37;34;55;39;40;41;54;31;44;35;30;36;71;45;48
Voldsforbrydelser i alt;Vallensbæk;14;8;6;11;16;9;6;12;10;15;14;10;8;9;21;9;16;13;7;5
Voldsforbrydelser i alt;Allerød;16;16;16;29;26;26;27;31;18;16;19;20;27;23;26;14;22;22;14;29
